2026-04-15 19:05:16 | INFO     | __main__ | Running a single scrape (--once mode)...
2026-04-15 19:05:16 | INFO     | scraper | Starting job scrape from Himalayas API...
2026-04-15 19:05:18 | INFO     | scraper | Fetched 20 job(s) from API. Processing...
2026-04-15 19:05:18 | DEBUG    | scraper | Duplicate skipped: Associate Director, IT Infrastructure Operations and Process Improvement @ Humana International Group
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: [MMP] Python Developer @ Software Mind
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Public Sector Central Government - Account Executive @ SailPoint
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Principal Technical Program Manager (Residence Based, Residence Based, US) @ Bayer
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Director, Business Development - IQVIA Health Communications Group @ IQVIA
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Part Time Remote Child and Family Therapist (LMFT/LCSW/LPCC) – California Licens @ Clarity Pediatrics
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Associate Director, Quality and Compliance, DentaQuest (California) @ Sun Life
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Civil Construction QS Specialists - 162 @ D2B
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Senior Consultant - Costing Functional Consultant @ ReachExt K.K.
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Revenue Operations Manager @ Dandy
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Senior Solutions Architect - New Logo @ Temporal Technologies
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Billing and Collection Specialist - Philippines @ Chargeflow
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Senior Lead Consultant, Impact Assessment @ Ramboll
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Associate Director, Medicaid Insurance Product Management @ Humana International Group
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: (fluent English) Account Manager (Asian Market) @ SupportYourApp
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Manager, Support Specialist @ Globalization Partners International
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Senior Data Engineer (Cloud & Analytics) @ Experian
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Sales Operations Analyst @ Conair LLC
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Nurse Case Manager @ AmerisourceBergen
2026-04-15 19:05:19 | DEBUG    | scraper | Duplicate skipped: Senior Principal System Administrator @ RTX
2026-04-15 19:05:19 | INFO     | scraper | Scrape complete — fetched: 20, inserted: 0, skipped: 20, errors: 0
2026-04-15 19:05:19 | INFO     | __main__ | Done. Inserted: 0, Skipped: 20, Errors: 0
